,Time,K,Name,Learning Rate,Train PRECISION,Train RECALL,Train AUC,Test PRECISION,Test RECALL,Test AUC
0,0.855713466000001,5,bpr,0.05,0.43549999594688416,0.0564,0.850600004196167,0.1589999943971634,0.082,0.776199996471405
1,0.829543141000002,10,bpr,0.05,0.3682999908924103,0.0948,0.8518000245094299,0.11739999800920486,0.1201,0.7809000015258789
2,0.8679757399999986,5,warp,0.05,0.4422999918460846,0.0571,0.9666000008583069,0.1687999963760376,0.0881,0.853600025177002
3,0.8783496359999958,10,warp,0.05,0.3919000029563904,0.1008,0.9671000242233276,0.12759999930858612,0.1314,0.8564000129699707
4,1.0070555859999928,5,bpr,0.08,0.4878999888896942,0.0629,0.9108999967575073,0.17659999430179596,0.0923,0.8058000206947327
5,0.8034120089999988,10,bpr,0.08,0.41519999504089355,0.1072,0.9043999910354614,0.12790000438690186,0.1322,0.8040000200271606
6,0.8895795429999964,5,warp,0.08,0.4187999963760376,0.0542,0.9804999828338623,0.1509999930858612,0.0784,0.8460999727249146
7,1.0758517989999916,10,warp,0.08,0.3937999904155731,0.1023,0.982200026512146,0.12309999763965607,0.1275,0.8503000140190125
8,0.8101765440000008,5,bpr,0.1,0.48669999837875366,0.0631,0.9165999889373779,0.16449999809265137,0.0861,0.8102999925613403
9,0.8106895859999952,10,bpr,0.1,0.4016000032424927,0.1036,0.9174000024795532,0.11659999936819077,0.1204,0.8079000115394592
10,0.8934505480000041,5,warp,0.1,0.41659998893737793,0.0539,0.9836999773979187,0.15289999544620514,0.0802,0.8382999897003174
11,0.9099401130000047,10,warp,0.1,0.37369999289512634,0.0968,0.984000027179718,0.1143999993801117,0.1179,0.8396999835968018
