,Time,K,N,Learning Rate,Train AUC,Test AUC
39,1.1738831539999524,10,4,0.01,0.8878999948501587,0.8054999709129333
40,0.92172783999996,1,5,0.01,0.885699987411499,0.8052999973297119
41,0.8251392269999656,2,5,0.01,0.8859000205993652,0.8043000102043152
42,0.8293413510000391,3,5,0.01,0.8885999917984009,0.8047000169754028
43,0.8323397720000116,4,5,0.01,0.885200023651123,0.8033999800682068
44,0.8309400260000075,5,5,0.01,0.8866999745368958,0.8054999709129333
45,0.8224567280000201,6,5,0.01,0.8895999789237976,0.8059999942779541
46,0.8266936570000212,7,5,0.01,0.8873999714851379,0.8036999702453613
47,0.8332942570000341,8,5,0.01,0.8860999941825867,0.8041999936103821
48,0.8427762289999805,9,5,0.01,0.8865000009536743,0.805400013923645
49,1.203974063999965,10,5,0.01,0.8859000205993652,0.8046000003814697
50,0.8239648249999618,1,6,0.01,0.890500009059906,0.8062000274658203
51,0.8405450569999857,2,6,0.01,0.8881000280380249,0.8052999973297119
52,0.8497080780000488,3,6,0.01,0.8876000046730042,0.8044999837875366
53,0.8305495160000191,4,6,0.01,0.8898000121116638,0.8059999942779541
54,0.8381134349999684,5,6,0.01,0.8885999917984009,0.8051999807357788
55,0.8635123789999852,6,6,0.01,0.8881999850273132,0.8050000071525574
56,0.843277755000031,7,6,0.01,0.8899000287055969,0.8047999739646912
57,0.8489498819999426,8,6,0.01,0.8873999714851379,0.8044000267982483
58,0.8477040099999158,9,6,0.01,0.8859999775886536,0.8047000169754028
59,0.8459008869999707,10,6,0.01,0.8866999745368958,0.8048999905586243
60,1.2029569080000329,1,7,0.01,0.8885999917984009,0.8052999973297119
61,0.8308033000000705,2,7,0.01,0.8885999917984009,0.8061000108718872
62,0.8339644999999791,3,7,0.01,0.8906000256538391,0.8058000206947327
63,0.8368377909999936,4,7,0.01,0.8877999782562256,0.8041999936103821
64,0.8303365599999779,5,7,0.01,0.8881999850273132,0.8043000102043152
65,0.8291811469999857,6,7,0.01,0.8906999826431274,0.805400013923645
66,0.8270500209999909,7,7,0.01,0.8877000212669373,0.8046000003814697
67,0.8199339149999787,8,7,0.01,0.8895000219345093,0.8065000176429749
68,0.8318002299999989,9,7,0.01,0.8848000168800354,0.8025000095367432
69,0.837957723000045,10,7,0.01,0.8884999752044678,0.8058000206947327
70,0.8260785960000021,1,8,0.01,0.8899999856948853,0.805899977684021
71,0.8225460319999911,2,8,0.01,0.8878999948501587,0.805400013923645
72,0.8307577479999964,3,8,0.01,0.8896999955177307,0.8069999814033508
73,0.9598818459999165,4,8,0.01,0.8855000138282776,0.8050000071525574
74,0.9361217900000156,5,8,0.01,0.8859999775886536,0.8027999997138977
75,0.8270412690000057,6,8,0.01,0.8863000273704529,0.8046000003814697
76,0.8241297380000105,7,8,0.01,0.8880000114440918,0.8052999973297119
77,0.8307410120000895,8,8,0.01,0.8866999745368958,0.8054999709129333
78,1.2673370249999607,9,8,0.01,0.887499988079071,0.8051999807357788
79,0.8240878789999897,10,8,0.01,0.8883000016212463,0.8051999807357788
80,0.8261825559999352,1,9,0.01,0.8896999955177307,0.8051000237464905
81,0.8294529629999943,2,9,0.01,0.8907999992370605,0.8066999912261963
82,1.1274382330000208,3,9,0.01,0.8853999972343445,0.8039000034332275
83,0.936030489000018,4,9,0.01,0.8876000046730042,0.8044999837875366
84,1.1784457920000477,5,9,0.01,0.8871999979019165,0.8051000237464905
